SARGAM NOTATION v3 — ICCR-1854-AC SIDE B
=================================================================
Source: Demucs vocals + CREPE + tanpura Sa detection
Detected Sa = 98.0 Hz | Pa = 146.8 Hz
Confidence: medium
CREPE confidence threshold = 0.75
Total notes: 5492

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [01:14.30]  D       0.100s   Dha shuddh — madhya saptak
  [01:14.40]  n       0.050s   Ni komal — madhya saptak
  [01:14.59]  S       0.080s   Sa — madhya saptak
  [01:14.72]  R'      0.150s   Re shuddh — taar saptak
  [01:14.97]  G'      0.130s   Ga shuddh — taar saptak
  [01:15.10]  M'      0.450s   Ma shuddh — taar saptak
  [01:15.63]  M'      0.050s   Ma shuddh — taar saptak
  [01:15.73]  R'      0.100s   Re shuddh — taar saptak
  [01:16.80]  n       0.050s   Ni komal — madhya saptak
  [01:16.85]  D       0.040s   Dha shuddh — madhya saptak
  [01:17.25]  M'      0.040s   Ma shuddh — taar saptak
  [01:17.45]  M'      0.050s   Ma shuddh — taar saptak
  [01:17.67]  R'      0.050s   Re shuddh — taar saptak
  [01:17.72]  r'      0.040s   Re komal — taar saptak
  [01:17.84]  r'      0.060s   Re komal — taar saptak
  [01:18.06]  M'      0.050s   Ma shuddh — taar saptak
  [01:18.27]  R'      0.070s   Re shuddh — taar saptak
  [01:18.40]  S       0.040s   Sa — madhya saptak
  [01:18.72]  G'      0.060s   Ga shuddh — taar saptak
  [01:19.28]  D       0.060s   Dha shuddh — madhya saptak
  [01:19.39]  n       0.040s   Ni komal — madhya saptak
  [01:19.44]  D       0.050s   Dha shuddh — madhya saptak
  [01:19.49]  n       0.040s   Ni komal — madhya saptak
  [01:19.61]  r'      0.040s   Re komal — taar saptak
  [01:19.80]  M'      0.050s   Ma shuddh — taar saptak
  [01:20.02]  n'      0.090s   Ni komal — taar saptak
  [01:20.23]  R'      0.040s   Re shuddh — taar saptak
  [01:20.29]  S'      0.070s   Sa — taar saptak
  [01:20.38]  n'      0.080s   Ni komal — taar saptak
  [01:20.46]  D'      0.050s   Dha shuddh — taar saptak
  [01:20.52]  n'      0.040s   Ni komal — taar saptak
  [01:20.60]  d'      0.050s   Dha komal — taar saptak
  [01:20.71]  M'      0.050s   Ma shuddh — taar saptak
  [01:20.76]  G'      0.040s   Ga shuddh — taar saptak
  [01:20.80]  M'      0.050s   Ma shuddh — taar saptak
  [01:20.89]  R'      0.100s   Re shuddh — taar saptak
  [01:21.23]  n       0.080s   Ni komal — madhya saptak
  [01:21.34]  n       0.060s   Ni komal — madhya saptak
  [01:21.44]  r'      0.100s   Re komal — taar saptak
  [01:21.57]  r'      0.040s   Re komal — taar saptak
  [01:21.64]  M'      0.060s   Ma shuddh — taar saptak
  [01:21.70]  G'      0.080s   Ga shuddh — taar saptak
  [01:21.78]  M'      0.090s   Ma shuddh — taar saptak
  [01:21.93]  M'      0.390s   Ma shuddh — taar saptak
  [01:22.32]  G'      0.060s   Ga shuddh — taar saptak
  [01:22.47]  R'      0.060s   Re shuddh — taar saptak
  [01:22.58]  R'      0.060s   Re shuddh — taar saptak
  [01:23.08]  P'      0.040s   Pa — taar saptak
