SARGAM NOTATION — IMPROVED (self_improve.py v2)
=================================================================
Sa = 92.525 Hz
Confidence = 0.7136  Gap = 0.07s  Min duration = 0.011s
Combined score = 0.91383  (0.65×chroma + 0.35×DTW)
Total notes: 11303

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:49.50]  N       0.020s   Ni shuddh — madhya saptak
  [00:49.54]  n       0.160s   Ni komal — madhya saptak
  [00:49.98]  n       0.020s   Ni komal — madhya saptak
  [00:50.01]  N       0.050s   Ni shuddh — madhya saptak
  [00:50.06]  n       0.070s   Ni komal — madhya saptak
  [00:50.20]  r'      0.020s   Re komal — taar saptak
  [00:50.22]  R'      0.030s   Re shuddh — taar saptak
  [00:50.25]  r'      0.120s   Re komal — taar saptak
  [00:50.40]  g'      0.180s   Ga komal — taar saptak
  [00:50.58]  R'      0.040s   Re shuddh — taar saptak
  [00:50.62]  g'      0.020s   Ga komal — taar saptak
  [00:50.64]  G'      0.020s   Ga shuddh — taar saptak
  [00:50.67]  M+'     0.050s   Ma tivra — taar saptak
  [00:50.74]  G'      0.050s   Ga shuddh — taar saptak
  [00:50.83]  d'      0.040s   Dha komal — taar saptak
  [00:50.88]  P'      0.020s   Pa — taar saptak
  [00:50.90]  M+'     0.050s   Ma tivra — taar saptak
  [00:50.95]  M'      0.020s   Ma shuddh — taar saptak
  [00:50.97]  M+'     0.030s   Ma tivra — taar saptak
  [00:51.00]  M'      0.060s   Ma shuddh — taar saptak
  [00:51.06]  M+'     0.030s   Ma tivra — taar saptak
  [00:51.09]  M'      0.160s   Ma shuddh — taar saptak
  [00:51.25]  G'      0.070s   Ga shuddh — taar saptak
  [00:51.32]  g'      0.200s   Ga komal — taar saptak
  [00:51.54]  M'      0.040s   Ma shuddh — taar saptak
  [00:52.03]  R'      0.020s   Re shuddh — taar saptak
  [00:52.08]  S       0.020s   Sa — madhya saptak
  [00:52.14]  G'      0.030s   Ga shuddh — taar saptak
  [00:52.18]  R'      0.020s   Re shuddh — taar saptak
  [00:52.24]  M+'     0.020s   Ma tivra — taar saptak
  [00:52.26]  M'      0.020s   Ma shuddh — taar saptak
  [00:52.28]  G'      0.020s   Ga shuddh — taar saptak
  [00:52.30]  M'      0.020s   Ma shuddh — taar saptak
  [00:52.36]  D'      0.020s   Dha shuddh — taar saptak
  [00:52.40]  M+'     0.090s   Ma tivra — taar saptak
  [00:52.50]  M'      0.040s   Ma shuddh — taar saptak
  [00:52.55]  P'      0.030s   Pa — taar saptak
  [00:52.64]  g'      0.040s   Ga komal — taar saptak
  [00:52.73]  S'      0.020s   Sa — taar saptak
  [00:52.75]  r'      0.260s   Re komal — taar saptak
  [00:53.07]  N       0.070s   Ni shuddh — madhya saptak
  [00:53.14]  n       0.070s   Ni komal — madhya saptak
  [00:53.22]  N       0.140s   Ni shuddh — madhya saptak
  [00:53.56]  d       0.020s   Dha komal — madhya saptak
  [00:53.58]  D       0.020s   Dha shuddh — madhya saptak
  [00:53.60]  n       0.030s   Ni komal — madhya saptak
  [00:53.63]  N       0.160s   Ni shuddh — madhya saptak
  [00:53.80]  n       0.020s   Ni komal — madhya saptak
