SARGAM NOTATION v2 — ICCR-1854-AC SIDE B
=================================================================
Source: pYIN Notes | Sa = 87 Hz | Min duration = 40ms
Total notes: 2527

KEY:
  S=Sa  R=Re(sh)  r=Re(ko)  G=Ga(sh)  g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh)  d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)    . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note    duration   full_name
  [02:57.57]  R'      0.139s   Re shuddh — taar saptak
  [02:57.81]  G'      0.112s   Ga shuddh — taar saptak
  [02:58.02]  M+'     0.229s   Ma tivra — taar saptak
  [02:58.26]  D'      0.128s   Dha shuddh — taar saptak
  [02:58.42]  P'      0.192s   Pa — taar saptak
  [02:58.65]  M+'     0.165s   Ma tivra — taar saptak
  [02:59.73]  s.      0.192s   Sa — mandra saptak

--- Minute 03 ---
  [03:00.16]  p.      0.181s   Pa — mandra saptak
  [03:00.86]  S       0.107s   Sa — madhya saptak
  [03:03.43]  R'      0.203s   Re shuddh — taar saptak
  [03:03.72]  S       0.128s   Sa — madhya saptak
  [03:04.14]  S'      0.107s   Sa — taar saptak
  [03:04.54]  G       0.139s   Ga shuddh — madhya saptak
  [03:04.81]  P'      0.555s   Pa — taar saptak
  [03:05.40]  M+'     0.171s   Ma tivra — taar saptak
  [03:05.67]  G       0.192s   Ga shuddh — madhya saptak
  [03:08.56]  s.      0.160s   Sa — mandra saptak
  [03:08.75]  s.      0.123s   Sa — mandra saptak
  [03:09.44]  s.      0.112s   Sa — mandra saptak
  [03:09.64]  s.      0.144s   Sa — mandra saptak
  [03:09.86]  s.      0.197s   Sa — mandra saptak
  [03:10.50]  S       0.389s   Sa — madhya saptak
  [03:10.91]  S       0.416s   Sa — madhya saptak
  [03:11.58]  s.      0.256s   Sa — mandra saptak
  [03:11.89]  S'      0.283s   Sa — taar saptak
  [03:12.19]  S       0.875s   Sa — madhya saptak
  [03:13.09]  S       0.416s   Sa — madhya saptak
  [03:13.73]  S'      0.192s   Sa — taar saptak
  [03:13.94]  S       0.187s   Sa — madhya saptak
  [03:14.13]  S       0.181s   Sa — madhya saptak
  [03:14.61]  s.      0.133s   Sa — mandra saptak
  [03:14.78]  s.      0.171s   Sa — mandra saptak
  [03:15.41]  g       0.112s   Ga komal — madhya saptak
  [03:15.65]  s.      0.160s   Sa — mandra saptak
  [03:15.91]  s.      0.149s   Sa — mandra saptak
  [03:16.30]  S       0.192s   Sa — madhya saptak
  [03:16.52]  s.      0.181s   Sa — mandra saptak
  [03:16.74]  s.      0.187s   Sa — mandra saptak
  [03:17.37]  S'      0.283s   Sa — taar saptak
  [03:18.01]  s.      0.165s   Sa — mandra saptak
  [03:18.21]  s.      0.160s   Sa — mandra saptak
  [03:18.86]  s.      0.171s   Sa — mandra saptak
  [03:19.71]  s.      0.192s   Sa — mandra saptak
  [03:20.13]  s.      0.139s   Sa — mandra saptak
  [03:20.36]  S'      0.171s   Sa — taar saptak
  [03:20.55]  S       0.107s   Sa — madhya saptak
  [03:20.76]  S       0.160s   Sa — madhya saptak
  [03:21.24]  S       0.107s   Sa — madhya saptak
  [03:21.43]  S       0.149s   Sa — madhya saptak
  [03:21.59]  S       0.192s   Sa — madhya saptak
  [03:21.91]  s.      0.171s   Sa — mandra saptak
  [03:22.12]  S       0.101s   Sa — madhya saptak
  [03:22.25]  s.      0.165s   Sa — mandra saptak
  [03:22.50]  M'      0.155s   Ma shuddh — taar saptak
  [03:23.36]  M+'     0.144s   Ma tivra — taar saptak
  [03:26.11]  s.      0.336s   Sa — mandra saptak
  [03:26.46]  s.      0.213s   Sa — mandra saptak
  [03:26.70]  s.      0.187s   Sa — mandra saptak
  [03:26.98]  M+'     0.101s   Ma tivra — taar saptak
  [03:27.08]  P'      0.251s   Pa — taar saptak
  [03:27.42]  R'      0.133s   Re shuddh — taar saptak
  [03:28.47]  G       0.107s   Ga shuddh — madhya saptak
  [03:28.76]  M+      0.592s   Ma tivra — madhya saptak
  [03:30.06]  G'      0.139s   Ga shuddh — taar saptak
  [03:30.21]  P'      0.155s   Pa — taar saptak
  [03:30.37]  P'      0.229s   Pa — taar saptak
  [03:30.69]  G'      0.155s   Ga shuddh — taar saptak
  [03:30.85]  R'      0.155s   Re shuddh — taar saptak
  [03:31.26]  S       0.160s   Sa — madhya saptak
  [03:31.45]  S       0.133s   Sa — madhya saptak
  [03:34.10]  M+'     0.181s   Ma tivra — taar saptak
  [03:34.51]  M+'     0.176s   Ma tivra — taar saptak
  [03:34.70]  P'      0.123s   Pa — taar saptak
  [03:34.95]  N'      0.315s   Ni shuddh — taar saptak
  [03:35.27]  D'      0.144s   Dha shuddh — taar saptak
  [03:35.43]  D'      0.128s   Dha shuddh — taar saptak
  [03:35.65]  N'      0.261s   Ni shuddh — taar saptak
  [03:35.93]  S'      0.315s   Sa — taar saptak
  [03:36.27]  S'      0.176s   Sa — taar saptak
  [03:36.91]  S       0.203s   Sa — madhya saptak
  [03:37.13]  S       0.181s   Sa — madhya saptak
  [03:37.34]  S       0.192s   Sa — madhya saptak
  [03:37.56]  G'      0.405s   Ga shuddh — taar saptak
  [03:38.01]  P'      0.192s   Pa — taar saptak
  [03:38.21]  P'      0.133s   Pa — taar saptak
  [03:38.48]  S'      0.133s   Sa — taar saptak
  [03:38.63]  N'      0.101s   Ni shuddh — taar saptak
  [03:38.74]  D'      0.283s   Dha shuddh — taar saptak
  [03:39.11]  S'      0.747s   Sa — taar saptak
  [03:40.00]  S'      0.149s   Sa — taar saptak
  [03:40.17]  R'      0.219s   Re shuddh — taar saptak
  [03:40.47]  S'      0.213s   Sa — taar saptak
  [03:40.90]  R'      0.107s   Re shuddh — taar saptak
  [03:42.96]  s.      0.288s   Sa — mandra saptak
  [03:44.85]  s.      0.176s   Sa — mandra saptak
  [03:45.46]  s.      0.176s   Sa — mandra saptak
  [03:46.43]  N'      0.517s   Ni shuddh — taar saptak
  [03:46.95]  D'      0.272s   Dha shuddh — taar saptak
  [03:47.23]  S'      1.515s   Sa — taar saptak
  [03:48.85]  N'      0.213s   Ni shuddh — taar saptak
  [03:49.09]  R'      0.181s   Re shuddh — taar saptak
  [03:49.35]  S       0.693s   Sa — madhya saptak
  [03:50.97]  S       0.869s   Sa — madhya saptak
  [03:52.79]  D'      0.187s   Dha shuddh — taar saptak
  [03:52.99]  S'      0.144s   Sa — taar saptak
  [03:53.14]  R'      0.240s   Re shuddh — taar saptak
  [03:55.45]  S'      0.128s   Sa — taar saptak
  [03:55.90]  N'      0.256s   Ni shuddh — taar saptak
  [03:56.26]  M       0.203s   Ma shuddh — madhya saptak
  [03:57.38]  s.      0.171s   Sa — mandra saptak
  [03:57.57]  s.      0.229s   Sa — mandra saptak
  [03:58.82]  s.      0.128s   Sa — mandra saptak
  [03:59.06]  S       0.213s   Sa — madhya saptak
  [03:59.31]  S       0.373s   Sa — madhya saptak
  [03:59.74]  s.      0.101s   Sa — mandra saptak
  [03:59.94]  s.      0.181s   Sa — mandra saptak

--- Minute 04 ---
  [04:00.14]  s.      0.219s   Sa — mandra saptak
  [04:00.39]  M       0.400s   Ma shuddh — madhya saptak
  [04:00.83]  S       0.821s   Sa — madhya saptak
  [04:01.66]  S       0.197s   Sa — madhya saptak
  [04:01.96]  S       0.101s   Sa — madhya saptak
  [04:02.15]  M       0.101s   Ma shuddh — madhya saptak
  [04:02.29]  s.      0.736s   Sa — mandra saptak
  [04:03.06]  M       0.272s   Ma shuddh — madhya saptak
  [04:03.36]  S'      0.187s   Sa — taar saptak
  [04:03.56]  S'      0.683s   Sa — taar saptak
  [04:04.26]  S'      0.827s   Sa — taar saptak
  [04:05.10]  S'      0.288s   Sa — taar saptak
  [04:05.44]  S       0.256s   Sa — madhya saptak
  [04:05.71]  S'      0.208s   Sa — taar saptak
  [04:05.94]  S'      0.192s   Sa — taar saptak
  [04:06.17]  S'      0.640s   Sa — taar saptak
  [04:06.82]  S'      0.427s   Sa — taar saptak
  [04:07.26]  S       0.432s   Sa — madhya saptak
  [04:07.70]  S'      0.421s   Sa — taar saptak
  [04:08.13]  S'      0.405s   Sa — taar saptak
  [04:08.54]  S       0.400s   Sa — madhya saptak
  [04:08.95]  S'      0.304s   Sa — taar saptak
  [04:09.28]  S       0.320s   Sa — madhya saptak
  [04:09.62]  S'      0.672s   Sa — taar saptak
  [04:10.31]  S'      0.400s   Sa — taar saptak
  [04:10.73]  S'      0.427s   Sa — taar saptak
  [04:11.17]  S'      0.411s   Sa — taar saptak
  [04:12.00]  S'      0.363s   Sa — taar saptak
  [04:12.39]  S'      0.267s   Sa — taar saptak
  [04:12.66]  S'      0.352s   Sa — taar saptak
  [04:13.02]  S'      0.624s   Sa — taar saptak
  [04:13.66]  S'      0.389s   Sa — taar saptak
  [04:14.06]  S'      0.725s   Sa — taar saptak
  [04:14.85]  S'      0.267s   Sa — taar saptak
  [04:15.13]  S'      0.496s   Sa — taar saptak
  [04:15.64]  S'      0.485s   Sa — taar saptak
  [04:16.14]  S       0.683s   Sa — madhya saptak
  [04:16.84]  S       0.411s   Sa — madhya saptak
  [04:17.26]  S       0.448s   Sa — madhya saptak
  [04:17.73]  S       0.432s   Sa — madhya saptak
  [04:18.28]  g'      0.149s   Ga komal — taar saptak
  [04:18.57]  S       1.520s   Sa — madhya saptak
  [04:20.13]  G       0.165s   Ga shuddh — madhya saptak
  [04:20.70]  S       0.155s   Sa — madhya saptak
  [04:21.00]  N       0.123s   Ni shuddh — madhya saptak
  [04:21.19]  S       0.192s   Sa — madhya saptak
  [04:21.39]  S       0.117s   Sa — madhya saptak
  [04:21.70]  s.      0.128s   Sa — mandra saptak
