SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:24.35]  N       0.010s   Ni shuddh — madhya saptak
  [00:24.40]  D       0.030s   Dha shuddh — madhya saptak
  [00:24.47]  n       0.120s   Ni komal — madhya saptak
  [00:24.61]  D       0.020s   Dha shuddh — madhya saptak
  [00:24.68]  D       0.020s   Dha shuddh — madhya saptak
  [00:24.78]  d       0.040s   Dha komal — madhya saptak
  [00:24.82]  D       0.020s   Dha shuddh — madhya saptak
  [00:24.84]  n       0.030s   Ni komal — madhya saptak
  [00:24.88]  D       0.010s   Dha shuddh — madhya saptak
  [00:25.02]  g'      0.030s   Ga komal — taar saptak
  [00:25.05]  R'      0.250s   Re shuddh — taar saptak
  [00:25.30]  r'      0.020s   Re komal — taar saptak
  [00:25.32]  R'      0.040s   Re shuddh — taar saptak
  [00:25.37]  g'      0.030s   Ga komal — taar saptak
  [00:25.40]  R'      0.010s   Re shuddh — taar saptak
  [00:25.43]  S'      0.060s   Sa — taar saptak
  [00:25.49]  r'      0.020s   Re komal — taar saptak
  [00:25.51]  S'      0.020s   Sa — taar saptak
  [00:25.59]  G'      0.030s   Ga shuddh — taar saptak
  [00:25.62]  M'      0.270s   Ma shuddh — taar saptak
  [00:25.89]  G'      0.030s   Ga shuddh — taar saptak
  [00:25.92]  M'      0.130s   Ma shuddh — taar saptak
  [00:26.05]  G'      0.050s   Ga shuddh — taar saptak
  [00:26.10]  M'      0.030s   Ma shuddh — taar saptak
  [00:26.13]  G'      0.020s   Ga shuddh — taar saptak
  [00:26.15]  g'      0.010s   Ga komal — taar saptak
  [00:26.17]  R'      0.080s   Re shuddh — taar saptak
  [00:26.28]  M'      0.160s   Ma shuddh — taar saptak
  [00:26.44]  G'      0.020s   Ga shuddh — taar saptak
  [00:26.61]  R'      0.010s   Re shuddh — taar saptak
  [00:26.62]  g'      0.020s   Ga komal — taar saptak
  [00:26.64]  R'      0.010s   Re shuddh — taar saptak
  [00:26.66]  r'      0.020s   Re komal — taar saptak
  [00:26.71]  M'      0.010s   Ma shuddh — taar saptak
  [00:26.72]  M+'     0.030s   Ma tivra — taar saptak
  [00:26.76]  G'      0.020s   Ga shuddh — taar saptak
  [00:26.81]  P'      0.080s   Pa — taar saptak
  [00:26.92]  n'      0.030s   Ni komal — taar saptak
  [00:26.98]  d'      0.070s   Dha komal — taar saptak
  [00:27.05]  P'      0.010s   Pa — taar saptak
  [00:27.07]  M'      0.030s   Ma shuddh — taar saptak
  [00:27.10]  M+'     0.030s   Ma tivra — taar saptak
  [00:27.13]  P'      0.040s   Pa — taar saptak
  [00:27.17]  M+'     0.040s   Ma tivra — taar saptak
  [00:27.24]  D'      0.010s   Dha shuddh — taar saptak
  [00:27.25]  n'      0.230s   Ni komal — taar saptak
  [00:27.48]  D'      0.040s   Dha shuddh — taar saptak
  [00:27.52]  n'      0.060s   Ni komal — taar saptak
  [00:27.73]  M'      0.080s   Ma shuddh — taar saptak
  [00:27.81]  G'      0.040s   Ga shuddh — taar saptak
  [00:27.85]  M'      0.050s   Ma shuddh — taar saptak
  [00:27.93]  R'      0.070s   Re shuddh — taar saptak
  [00:28.00]  r'      0.030s   Re komal — taar saptak
  [00:28.08]  D'      0.100s   Dha shuddh — taar saptak
  [00:28.19]  P'      0.040s   Pa — taar saptak
  [00:28.31]  M'      0.040s   Ma shuddh — taar saptak
  [00:28.35]  G'      0.030s   Ga shuddh — taar saptak
  [00:28.41]  P'      0.040s   Pa — taar saptak
  [00:28.46]  M+'     0.010s   Ma tivra — taar saptak
  [00:28.47]  M'      0.040s   Ma shuddh — taar saptak
  [00:28.51]  M+'     0.030s   Ma tivra — taar saptak
  [00:28.54]  M'      0.060s   Ma shuddh — taar saptak
  [00:28.60]  M+'     0.040s   Ma tivra — taar saptak
  [00:28.64]  M'      0.010s   Ma shuddh — taar saptak
  [00:28.67]  g'      0.010s   Ga komal — taar saptak
  [00:28.68]  R'      0.050s   Re shuddh — taar saptak
  [00:28.74]  r'      0.010s   Re komal — taar saptak
  [00:28.75]  S'      0.060s   Sa — taar saptak
  [00:28.81]  r'      0.020s   Re komal — taar saptak
  [00:28.83]  S'      0.080s   Sa — taar saptak
  [00:28.91]  r'      0.030s   Re komal — taar saptak
  [00:28.94]  R'      0.220s   Re shuddh — taar saptak
  [00:29.16]  r'      0.040s   Re komal — taar saptak
  [00:29.23]  N       0.020s   Ni shuddh — madhya saptak
  [00:29.27]  D       0.100s   Dha shuddh — madhya saptak
  [00:29.37]  n       0.130s   Ni komal — madhya saptak
  [00:29.52]  D       0.010s   Dha shuddh — madhya saptak
  [00:29.60]  S'      0.190s   Sa — taar saptak
  [00:29.82]  R'      0.080s   Re shuddh — taar saptak
  [00:29.90]  g'      0.020s   Ga komal — taar saptak
  [00:29.92]  R'      0.100s   Re shuddh — taar saptak
  [00:30.03]  g'      0.010s   Ga komal — taar saptak
  [00:30.04]  G'      0.030s   Ga shuddh — taar saptak
  [00:30.07]  M'      0.680s   Ma shuddh — taar saptak
