time,frequency,confidence
18.390,194.835,0.922522
18.400,194.958,0.917564
18.410,194.286,0.891098
18.420,193.720,0.788154
18.490,161.725,0.850002
18.500,160.731,0.812513
18.520,161.824,0.808103
18.530,163.876,0.895504
18.540,164.902,0.940654
18.550,167.156,0.796418
18.570,172.476,0.772893
18.580,173.920,0.870079
18.590,174.669,0.899955
18.600,174.973,0.906257
18.610,174.797,0.868188
18.620,174.214,0.850504
18.630,174.009,0.874897
18.640,173.952,0.876610
18.650,173.839,0.904950
18.660,173.494,0.921815
18.670,173.392,0.905599
18.680,173.103,0.862574
18.690,172.748,0.878116
18.700,172.544,0.861757
18.730,166.860,0.754014
18.740,167.322,0.882873
18.750,168.468,0.865799
18.760,169.158,0.873536
18.770,169.513,0.775508
18.790,172.580,0.816352
18.800,172.080,0.876732
18.810,172.241,0.888016
18.820,172.860,0.848636
18.830,173.517,0.899427
18.840,173.728,0.934631
18.850,173.912,0.944164
18.860,173.669,0.933927
18.870,173.568,0.902486
18.880,174.144,0.873956
18.890,174.460,0.862186
18.900,174.330,0.877900
18.910,173.847,0.917525
18.920,173.449,0.935739
18.930,173.372,0.935423
18.940,173.449,0.917007
18.950,173.004,0.912625
18.960,172.401,0.895071
18.970,171.936,0.873951
18.980,171.403,0.840142
18.990,171.049,0.810364
19.010,170.955,0.773256
19.020,172.789,0.801231
19.080,195.746,0.831976
19.090,196.415,0.907646
19.100,196.260,0.914338
19.110,196.208,0.887767
19.120,196.192,0.830695
19.130,196.283,0.869879
19.140,195.962,0.900346
19.150,195.204,0.846313
19.160,195.211,0.824435
19.170,196.385,0.858931
19.180,197.117,0.890309
19.190,196.055,0.903902
19.200,194.680,0.927497
19.210,194.210,0.934138
19.220,194.646,0.932115
19.230,195.162,0.925820
19.240,195.046,0.916669
19.250,195.124,0.771828
19.300,219.531,0.870895
19.310,220.185,0.934936
19.320,220.090,0.945402
19.330,219.530,0.937710
19.340,219.214,0.915872
19.350,218.435,0.942525
19.360,217.564,0.950147
19.370,217.208,0.930775
19.380,217.063,0.930521
19.390,217.197,0.929472
19.400,218.336,0.941110
19.410,219.403,0.918654
19.420,219.716,0.946551
19.430,220.068,0.961773
19.440,219.344,0.911352
19.450,218.207,0.943473
19.460,218.028,0.942860
19.470,219.413,0.903236
19.480,221.963,0.865333
19.490,225.418,0.800263
19.520,237.217,0.781534
19.530,239.573,0.876405
19.540,241.834,0.882882
19.550,247.910,0.775759
19.560,253.493,0.884096
19.570,254.655,0.920664
19.580,255.700,0.937298
19.590,258.308,0.905053
19.600,260.115,0.929243
19.610,260.309,0.933873
19.620,260.444,0.929626
19.630,259.987,0.947631
19.640,259.383,0.955657
19.650,259.872,0.939417
19.660,259.990,0.925254
19.670,260.421,0.929345
19.680,261.152,0.938064
19.690,261.387,0.922533
19.700,261.219,0.886519
19.710,260.969,0.865610
19.720,260.361,0.934956
19.730,260.191,0.940122
19.740,262.630,0.927397
19.750,262.927,0.949091
19.760,261.279,0.949407
19.770,260.706,0.942397
19.780,260.256,0.952776
19.790,259.816,0.963768
19.800,259.234,0.967225
19.810,258.783,0.962849
19.820,258.860,0.964211
19.830,259.778,0.962782
19.840,261.290,0.945679
19.850,262.362,0.966505
19.860,262.038,0.966266
19.870,261.246,0.951256
19.880,260.370,0.951993
19.890,259.557,0.964068
19.900,258.835,0.964893
19.910,258.355,0.956673
19.920,257.755,0.963659
19.930,257.555,0.965292
19.940,257.725,0.949153
19.950,258.718,0.958195
19.960,259.660,0.967606
19.970,260.610,0.953326
19.980,261.213,0.956559
19.990,260.920,0.948123
20.000,259.535,0.964733
20.010,258.739,0.964734
20.020,258.772,0.968175
20.030,259.445,0.969764
20.040,259.004,0.954364
20.050,256.612,0.962945
20.060,255.675,0.961935
20.070,256.663,0.974484
20.080,257.020,0.970891
20.090,256.598,0.951235
20.100,255.905,0.888654
20.110,252.571,0.776891
20.120,245.945,0.869892
20.130,244.894,0.894527
20.140,245.590,0.908988
20.150,246.529,0.918450
20.160,247.356,0.919970
20.170,250.136,0.859042
20.180,252.420,0.928182
20.190,252.040,0.951728
20.200,251.767,0.961249
20.210,251.991,0.937846
20.220,250.634,0.888933
20.230,248.158,0.874851
20.240,246.430,0.868089
20.250,247.215,0.884869
20.260,245.859,0.923836
20.270,244.992,0.961011
20.280,244.500,0.961710
20.290,242.602,0.967207
20.300,241.598,0.951532
20.310,240.949,0.913817
20.320,239.465,0.930295
20.330,239.634,0.934043
20.340,240.875,0.864975
20.350,241.034,0.839112
20.360,240.142,0.822220
20.370,238.513,0.819274
20.380,238.763,0.853035
20.390,239.562,0.796032
20.400,239.180,0.777033
20.410,236.952,0.824306
20.540,220.772,0.803292
20.550,218.937,0.814638
20.560,218.311,0.816106
20.570,218.846,0.782065
20.580,218.635,0.867298
20.590,218.030,0.823330
20.620,216.380,0.765625
20.690,217.175,0.837716
20.700,216.642,0.876488
20.710,216.154,0.886143
20.720,213.637,0.868293
20.730,210.786,0.928691
20.740,210.521,0.948135
20.750,212.236,0.947995
20.760,215.867,0.886848
20.770,223.777,0.868076
20.780,229.754,0.774606
20.800,248.943,0.779971
20.900,259.401,0.916617
20.910,260.674,0.923293
20.920,259.564,0.898205
20.940,240.077,0.764433
20.950,234.695,0.865111
20.960,232.351,0.849439
21.020,298.426,0.947139
21.030,298.986,0.959008
21.040,295.237,0.840246
21.070,258.455,0.815703
21.080,254.039,0.936518
21.090,255.340,0.891521
21.100,259.586,0.908044
21.110,263.555,0.927794
21.120,265.472,0.968224
21.130,264.951,0.958767
21.140,261.514,0.918897
21.150,255.195,0.883770
21.160,248.030,0.887311
21.170,246.799,0.867039
21.180,252.722,0.842379
21.200,270.589,0.879886
21.210,274.523,0.924729
21.220,276.276,0.871924
21.230,274.727,0.843199
21.240,268.603,0.825157
21.250,263.902,0.802970
21.290,218.523,0.859259
21.300,220.877,0.936675
21.310,221.690,0.908254
21.320,221.653,0.899956
21.330,221.867,0.886051
21.340,220.443,0.823638
21.350,212.999,0.814745
21.360,208.746,0.839875
21.370,203.712,0.864332
21.380,199.614,0.865461
21.390,196.997,0.927980
21.400,196.704,0.941317
21.410,197.387,0.922048
21.420,197.979,0.902542
21.430,198.349,0.907775
21.440,197.836,0.900625
21.450,197.007,0.948150
21.460,195.978,0.945276
21.470,195.125,0.945963
21.480,194.778,0.951820
21.490,194.968,0.948159
21.500,194.947,0.947788
21.510,194.683,0.945841
21.520,194.714,0.942899
21.530,195.088,0.935599
21.540,195.441,0.922402
21.550,195.860,0.922373
21.560,195.929,0.935056
21.570,195.511,0.940810
21.580,194.650,0.950154
21.590,194.047,0.931850
21.600,194.698,0.937777
21.610,195.538,0.924771
21.620,195.483,0.928280
21.630,195.100,0.938580
21.640,194.634,0.945938
21.650,194.206,0.940700
21.660,193.920,0.928973
21.670,193.899,0.935480
21.680,193.922,0.931187
21.690,193.392,0.890849
21.700,192.816,0.868046
21.710,192.426,0.846504
21.720,192.793,0.771490
21.730,194.002,0.790200
21.740,195.209,0.834414
21.750,195.114,0.873653
21.760,194.651,0.907847
21.770,194.793,0.895660
21.780,195.551,0.865202
21.790,196.179,0.903923
21.800,195.663,0.856442
21.810,194.807,0.854764
21.820,194.732,0.902751
21.830,195.015,0.844263
21.840,195.054,0.753358
21.910,163.804,0.831189
21.920,160.738,0.820730
21.930,157.398,0.904524
21.940,157.000,0.918282
21.950,159.033,0.788192
22.000,161.338,0.796756
22.010,162.351,0.758951
22.020,163.671,0.852805
22.030,164.174,0.909522
22.040,164.746,0.910387
22.050,166.647,0.773158
22.060,170.033,0.792098
22.070,171.052,0.823628
22.080,170.132,0.834679
22.090,168.079,0.818334
22.100,167.285,0.822795
22.370,133.442,0.815352
22.380,135.685,0.807281
22.390,139.335,0.768076
22.400,145.366,0.764369
22.410,149.250,0.899065
22.420,152.413,0.896122
22.430,155.701,0.908834
22.440,159.460,0.912074
22.450,161.979,0.924821
22.460,164.010,0.927703
22.470,165.603,0.948734
22.480,166.826,0.928483
22.490,167.514,0.928022
22.500,167.998,0.906410
22.510,168.335,0.901468
22.520,168.387,0.905241
22.530,168.311,0.897349
22.540,167.567,0.919946
22.550,166.360,0.897819
22.560,165.448,0.933483
22.570,165.582,0.923399
22.580,166.320,0.819215
22.590,167.683,0.773120
22.670,161.763,0.791178
22.680,159.857,0.783308
22.700,157.698,0.766949
22.730,164.699,0.804332
22.740,166.668,0.844628
22.750,169.887,0.800038
22.800,196.319,0.894953
22.810,196.625,0.931226
22.820,195.501,0.892128
22.830,193.895,0.914890
22.840,192.916,0.911604
22.850,192.516,0.922717
22.860,192.461,0.922768
22.870,192.973,0.912592
22.880,193.760,0.928177
22.890,194.826,0.944111
22.900,195.882,0.935547
22.910,196.768,0.951438
22.920,197.921,0.900098
22.930,198.987,0.924249
22.940,199.483,0.914456
22.950,198.738,0.880054
22.960,196.004,0.786579
23.010,167.672,0.798266
23.020,166.269,0.874083
23.030,166.292,0.885876
23.040,166.573,0.909035
23.050,166.876,0.929664
23.060,168.226,0.885384
23.070,170.608,0.874663
23.080,172.309,0.907541
23.090,172.728,0.938889
23.100,172.853,0.942187
23.110,172.737,0.938528
23.120,172.661,0.936892
23.130,172.672,0.936302
23.140,172.748,0.939116
23.150,172.502,0.932309
23.160,172.297,0.909599
23.170,172.008,0.875699
23.180,171.987,0.854487
23.190,171.958,0.863686
23.200,171.555,0.905199
23.210,170.672,0.912525
23.220,169.094,0.894027
23.230,167.541,0.876961
23.240,166.814,0.852779
23.250,166.430,0.832042
23.260,166.434,0.833304
23.270,166.331,0.823608
23.280,166.032,0.881046
23.290,165.869,0.881526
23.300,165.878,0.878236
23.310,165.663,0.880177
23.320,165.327,0.880368
23.330,164.543,0.834810
