time,frequency,confidence
5.650,219.750,0.868501
5.660,219.138,0.840687
5.670,218.917,0.853545
5.680,219.418,0.884080
5.690,219.435,0.903489
5.700,218.466,0.936351
5.710,217.175,0.874138
5.720,216.748,0.839181
5.730,217.927,0.738966
5.740,221.471,0.823360
5.750,224.068,0.698864
5.760,228.197,0.512463
5.770,231.214,0.507343
5.780,232.516,0.580523
5.790,230.968,0.670038
5.800,232.070,0.814499
5.810,234.461,0.851425
5.820,237.269,0.704245
5.830,238.118,0.598661
5.840,238.869,0.723783
5.850,238.781,0.891628
5.860,239.170,0.929530
5.870,240.485,0.903358
5.880,243.340,0.915064
5.890,247.018,0.863228
5.900,250.107,0.902847
5.910,252.292,0.854708
5.920,255.247,0.864036
5.930,257.470,0.904779
5.940,258.489,0.910111
5.950,258.393,0.917415
5.960,258.209,0.920011
5.970,258.057,0.913685
5.980,258.886,0.930348
5.990,259.686,0.936801
6.000,259.328,0.947153
6.010,258.770,0.948883
6.020,258.956,0.953715
6.030,258.965,0.947174
6.040,258.883,0.942770
6.050,259.328,0.959764
6.060,260.195,0.955227
6.070,260.944,0.942602
6.080,261.664,0.966150
6.090,262.229,0.971602
6.100,262.466,0.973839
6.110,262.314,0.971887
6.120,261.394,0.953432
6.130,259.627,0.958220
6.140,258.081,0.945146
6.150,257.932,0.943764
6.160,259.338,0.961591
6.170,260.961,0.929590
6.180,261.361,0.949358
6.190,261.070,0.937816
6.200,260.995,0.941483
6.210,261.510,0.956048
6.220,262.288,0.962203
6.230,262.758,0.960809
6.240,262.292,0.964164
6.250,261.061,0.942478
6.260,259.428,0.952606
6.270,258.189,0.927675
6.280,258.468,0.940999
6.290,259.609,0.955353
6.300,260.487,0.946088
6.310,260.682,0.937174
6.320,260.287,0.949953
6.330,259.916,0.957025
6.340,260.161,0.944562
6.350,260.542,0.927387
6.360,260.516,0.929246
6.370,260.006,0.945169
6.380,259.376,0.950892
6.390,258.871,0.938837
6.400,258.745,0.924107
6.410,258.022,0.907804
6.420,257.666,0.935665
6.430,258.523,0.938467
6.440,259.444,0.956785
6.450,259.960,0.945888
6.460,260.288,0.938412
6.470,260.436,0.933323
6.480,258.484,0.920116
6.490,255.313,0.927841
6.500,252.344,0.913020
6.510,249.395,0.895110
6.520,246.640,0.906978
6.530,245.637,0.942537
6.540,245.716,0.936258
6.550,247.144,0.932378
6.560,250.672,0.937661
6.570,253.342,0.952095
6.580,256.028,0.961520
6.590,257.913,0.943026
6.600,257.820,0.916463
6.610,254.631,0.860741
6.620,249.749,0.847607
6.630,247.062,0.800186
6.640,243.570,0.773668
6.650,241.013,0.877357
6.660,240.976,0.919867
6.670,241.375,0.929975
6.680,241.344,0.942453
6.690,241.529,0.945956
6.700,241.956,0.922498
6.710,242.898,0.878810
6.720,242.943,0.863350
6.730,243.785,0.778961
6.740,246.701,0.758949
6.750,247.803,0.731618
6.760,245.870,0.562509
6.770,244.192,0.396470
6.780,216.680,0.270317
6.790,215.916,0.397409
6.800,215.535,0.315730
6.810,214.282,0.541300
6.820,213.512,0.519152
6.830,213.456,0.629705
6.840,210.058,0.480523
6.850,206.689,0.516913
6.860,201.645,0.317850
6.870,199.715,0.261158
6.880,215.253,0.474120
6.890,216.118,0.686643
6.900,216.294,0.718825
6.910,215.100,0.705684
6.920,217.618,0.604925
6.930,221.476,0.718334
6.940,220.882,0.700314
6.950,219.774,0.418679
6.960,194.870,0.439742
6.970,194.454,0.610281
6.980,195.657,0.655755
6.990,199.212,0.644048
7.000,202.548,0.538095
7.010,209.084,0.472552
7.020,212.803,0.585663
7.030,213.014,0.610692
7.040,209.625,0.668507
7.050,208.754,0.817047
7.060,211.468,0.870947
7.070,213.669,0.911949
7.080,215.814,0.913852
7.090,219.525,0.873001
7.100,224.700,0.776914
7.110,236.284,0.638750
7.120,244.980,0.807994
7.130,253.735,0.921962
7.140,256.693,0.969821
7.150,255.929,0.959700
7.160,252.384,0.901052
7.170,245.723,0.886850
7.180,242.922,0.919371
7.190,242.263,0.929107
7.200,244.889,0.912660
7.210,248.778,0.802232
7.220,258.556,0.573792
7.230,280.459,0.552058
7.240,285.584,0.625897
7.250,290.694,0.652903
7.260,290.941,0.614705
7.270,287.582,0.747225
7.280,285.681,0.824605
7.290,286.775,0.825997
7.300,286.154,0.683623
7.310,284.192,0.553580
7.320,283.704,0.386697
7.330,255.856,0.359183
7.340,259.811,0.705563
7.350,263.711,0.865055
7.360,266.880,0.936011
7.370,267.171,0.930439
7.380,264.701,0.933266
7.390,259.748,0.881564
7.400,253.234,0.886062
7.410,246.704,0.744885
7.420,239.371,0.804278
7.430,237.900,0.870649
7.440,240.685,0.887293
7.450,244.826,0.940075
7.460,246.331,0.922583
7.470,245.192,0.921292
7.480,243.042,0.878186
7.490,242.878,0.870043
7.500,243.012,0.866564
7.510,243.281,0.842736
7.520,242.417,0.793918
7.530,239.417,0.617635
7.540,232.247,0.389476
7.550,221.621,0.492119
7.560,218.607,0.585375
7.570,218.888,0.772988
7.580,218.365,0.895492
7.590,217.343,0.900744
7.600,217.142,0.929097
7.610,217.450,0.949412
7.620,217.300,0.948391
7.630,216.521,0.935285
7.640,214.788,0.914940
7.650,212.231,0.851928
7.660,208.770,0.801014
7.670,205.835,0.845341
7.680,203.661,0.753329
7.690,200.437,0.420339
7.700,193.230,0.406418
7.710,190.008,0.325886
7.720,189.067,0.277020
7.730,191.360,0.231229
7.740,193.440,0.287178
7.750,185.059,0.310139
7.760,180.017,0.205902
7.770,184.867,0.140504
7.780,197.461,0.503767
7.790,200.735,0.657933
7.800,202.322,0.634120
7.810,209.124,0.407466
7.820,216.532,0.671497
7.830,218.751,0.231252
7.840,222.115,0.106944
7.850,222.197,0.203787
7.860,193.972,0.404555
7.870,189.287,0.298063
7.880,187.494,0.353886
7.890,187.257,0.349905
7.900,198.333,0.285825
7.910,221.450,0.074151
7.920,223.636,0.348158
7.930,207.896,0.196093
7.940,193.939,0.190225
7.950,193.193,0.249394
7.960,182.649,0.279107
7.970,184.676,0.324261
7.980,188.258,0.429082
7.990,189.467,0.641755
8.000,192.309,0.682557
8.010,194.539,0.830475
8.020,195.266,0.843466
8.030,195.322,0.657364
8.040,190.585,0.338163
8.050,185.470,0.177937
8.060,185.129,0.047078
8.070,183.741,0.106117
8.080,181.296,0.238103
8.090,177.150,0.344587
8.100,168.599,0.207738
8.110,167.670,0.519707
8.120,167.419,0.576227
8.130,166.938,0.405051
8.140,171.563,0.293966
8.150,171.204,0.432127
8.160,168.018,0.573915
8.170,164.456,0.506617
8.180,161.023,0.546665
8.190,161.807,0.265590
8.200,162.879,0.198282
8.210,163.157,0.169889
8.220,163.513,0.449846
8.230,164.799,0.801260
8.240,165.288,0.848480
8.250,165.738,0.651730
8.260,165.821,0.270766
8.270,167.157,0.253834
8.280,168.341,0.516829
8.290,169.544,0.613715
8.300,169.557,0.697762
8.310,173.961,0.375022
8.320,179.522,0.417215
8.330,185.018,0.344270
8.340,190.584,0.246397
8.350,189.526,0.294119
8.360,184.271,0.415466
8.370,180.092,0.557440
8.380,170.881,0.452819
8.390,168.380,0.272507
8.400,163.554,0.139230
8.410,153.503,0.174563
8.420,172.003,0.316237
8.430,172.813,0.392826
8.440,170.849,0.469017
8.450,169.942,0.284318
8.460,173.910,0.165901
8.470,178.613,0.371199
8.480,177.216,0.693415
8.490,173.392,0.792018
8.500,171.157,0.773447
8.510,170.956,0.637313
8.520,170.044,0.636958
8.530,170.032,0.618954
8.540,170.308,0.626761
8.550,172.811,0.438671
8.560,174.444,0.582430
8.570,174.844,0.603748
