sa_hz,conf,gap,min_dur,notes,score
97.95,0.63,0.011,0.055,3731,0.816005
97.91,0.63,0.011,0.055,3739,0.815803
101.12,0.609,0.068,0.029,8992,0.812588
99.81,0.586,0.031,0.011,13629,0.810613
98.73,0.687,0.051,0.057,3962,0.809921
97.0,0.604,0.035,0.055,3646,0.808869
98.98,0.781,0.046,0.048,4965,0.807778
95.86,0.652,0.061,0.032,6398,0.807008
94.26,0.731,0.071,0.017,13111,0.806714
95.87,0.59,0.025,0.037,6485,0.805212
96.38,0.71,0.032,0.041,4667,0.804147
98.67,0.5,0.011,0.055,3800,0.802684
99.44,0.541,0.073,0.033,7267,0.802159
94.16,0.57,0.067,0.028,10053,0.801469
93.95,0.643,0.038,0.032,7326,0.796717
94.2,0.667,0.049,0.02,10124,0.796283
94.34,0.648,0.013,0.017,13606,0.795592
95.26,0.6,0.041,0.03,9407,0.792882
94.25,0.661,0.076,0.024,10083,0.790435
94.25,0.689,0.044,0.024,10145,0.790249
99.59,0.744,0.085,0.034,7356,0.787044
94.43,0.61,0.039,0.014,13394,0.782576
94.47,0.527,0.085,0.017,13175,0.776972
94.08,0.78,0.052,0.037,7102,0.775995
94.35,0.682,0.052,0.026,10125,0.775311
95.4,0.509,0.022,0.036,6657,0.773704
100.98,0.565,0.064,0.032,6597,0.77002
100.98,0.541,0.059,0.033,6598,0.7697
100.14,0.722,0.039,0.011,13583,0.76866
100.89,0.701,0.058,0.038,6711,0.762879
95.51,0.565,0.08,0.046,4782,0.761518
99.59,0.508,0.05,0.048,5367,0.755189
94.5,0.522,0.048,0.022,10132,0.754085
94.75,0.77,0.038,0.018,12869,0.737079
99.57,0.668,0.061,0.057,4128,0.735275
94.21,0.518,0.086,0.048,5510,0.733788
94.85,0.595,0.031,0.017,13040,0.72473
100.32,0.658,0.018,0.023,10136,0.722303
94.34,0.666,0.043,0.046,5498,0.715553
95.07,0.689,0.057,0.017,12627,0.696176
95.09,0.671,0.023,0.013,12891,0.69268
100.7,0.773,0.018,0.011,12731,0.691649
100.14,0.6,0.058,0.043,5420,0.684695
94.79,0.542,0.02,0.03,7208,0.677609
95.19,0.575,0.079,0.025,9396,0.662027
95.2,0.56,0.068,0.029,9421,0.661085
94.64,0.728,0.065,0.051,4150,0.6404
100.48,0.528,0.044,0.058,3977,0.601437
100.5,0.538,0.015,0.056,3871,0.596602
95.13,0.667,0.034,0.04,5055,0.594536
100.8,0.793,0.017,0.053,3543,0.547185
